-14.551314,	 -10.443973,	 -4.368855,	 0.870897,	 -1.102205,	 -0.495073,
-14.177547,	 -10.901027,	 -4.574327,	 0.908838,	 -1.074018,	 -0.483264,
-13.788082,	 -11.346018,	 -4.774738,	 0.945630,	 -1.044752,	 -0.470965,
-13.383415,	 -11.778500,	 -4.969882,	 0.981237,	 -1.014451,	 -0.458196,
-12.964047,	 -12.198041,	 -5.159568,	 1.015626,	 -0.983160,	 -0.444977,
-12.530498,	 -12.604244,	 -5.343613,	 1.048764,	 -0.950924,	 -0.431325,
-12.083294,	 -12.996720,	 -5.521837,	 1.080624,	 -0.917789,	 -0.417263,
-11.622981,	 -13.375098,	 -5.694072,	 1.111178,	 -0.883803,	 -0.402808,
-11.150115,	 -13.739030,	 -5.860157,	 1.140402,	 -0.849012,	 -0.387983,
-10.665256,	 -14.088190,	 -6.019940,	 1.168272,	 -0.813464,	 -0.372807,
-10.168982,	 -14.422270,	 -6.173281,	 1.194770,	 -0.777207,	 -0.357301,
-9.661871,	 -14.740981,	 -6.320043,	 1.219877,	 -0.740289,	 -0.341485,
-9.144506,	 -15.044059,	 -6.460101,	 1.243577,	 -0.702757,	 -0.325381,
-8.617484,	 -15.331255,	 -6.593340,	 1.265857,	 -0.664660,	 -0.309009,
-8.081404,	 -15.602336,	 -6.719646,	 1.286705,	 -0.626044,	 -0.292390,
-7.536869,	 -15.857099,	 -6.838928,	 1.306111,	 -0.586959,	 -0.275545,
-6.984488,	 -16.095354,	 -6.951090,	 1.324069,	 -0.547451,	 -0.258494,
-6.424870,	 -16.316942,	 -7.056050,	 1.340572,	 -0.507566,	 -0.241258,
-5.858624,	 -16.521696,	 -7.153738,	 1.355617,	 -0.467352,	 -0.223856,
-5.286367,	 -16.709501,	 -7.244084,	 1.369201,	 -0.426854,	 -0.206310,
-4.708711,	 -16.880249,	 -7.327033,	 1.381325,	 -0.386118,	 -0.188639,
-4.126267,	 -17.033846,	 -7.402536,	 1.391989,	 -0.345188,	 -0.170863,
-3.539652,	 -17.170221,	 -7.470557,	 1.401198,	 -0.304110,	 -0.153000,
-2.949472,	 -17.289318,	 -7.531061,	 1.408955,	 -0.262926,	 -0.135071,
-2.356338,	 -17.391106,	 -7.584025,	 1.415268,	 -0.221679,	 -0.117094,
-1.760853,	 -17.475569,	 -7.629432,	 1.420143,	 -0.180412,	 -0.099088,
-1.163621,	 -17.542692,	 -7.667272,	 1.423589,	 -0.139165,	 -0.081071,
-0.565239,	 -17.592506,	 -7.697546,	 1.425618,	 -0.097980,	 -0.063060,
0.033700,	 -17.625042,	 -7.720261,	 1.426240,	 -0.056895,	 -0.045074,
0.632607,	 -17.640352,	 -7.735429,	 1.425468,	 -0.015950,	 -0.027129,
1.230901,	 -17.638502,	 -7.743072,	 1.423317,	 0.024817,	 -0.009243,
1.828005,	 -17.619566,	 -7.743217,	 1.419800,	 0.065370,	 0.008569,
2.423349,	 -17.583658,	 -7.735901,	 1.414935,	 0.105672,	 0.026290,
3.016369,	 -17.530874,	 -7.721164,	 1.408738,	 0.145688,	 0.043905,
3.606511,	 -17.461357,	 -7.699053,	 1.401227,	 0.185384,	 0.061398,
4.193225,	 -17.375233,	 -7.669623,	 1.392420,	 0.224726,	 0.078755,
4.775972,	 -17.272669,	 -7.632935,	 1.382338,	 0.263683,	 0.095960,
5.354221,	 -17.153828,	 -7.589054,	 1.370999,	 0.302221,	 0.113000,
5.927449,	 -17.018894,	 -7.538054,	 1.358426,	 0.340311,	 0.129861,
6.495142,	 -16.868065,	 -7.480014,	 1.344640,	 0.377924,	 0.146530,
7.056793,	 -16.701540,	 -7.415013,	 1.329662,	 0.415029,	 0.162994,
7.611907,	 -16.519539,	 -7.343144,	 1.313517,	 0.451599,	 0.179240,
8.160000,	 -16.322304,	 -7.264498,	 1.296226,	 0.487608,	 0.195256,
8.700599,	 -16.110064,	 -7.179175,	 1.277814,	 0.523028,	 0.211031,
9.233229,	 -15.883073,	 -7.087280,	 1.258304,	 0.557835,	 0.226552,
9.757440,	 -15.641599,	 -6.988921,	 1.237723,	 0.592004,	 0.241809,
10.272786,	 -15.385908,	 -6.884214,	 1.216093,	 0.625512,	 0.256791,
10.778834,	 -15.116289,	 -6.773272,	 1.193442,	 0.658335,	 0.271487,
11.275160,	 -14.833032,	 -6.656219,	 1.169794,	 0.690452,	 0.285889,
11.761346,	 -14.536436,	 -6.533181,	 1.145175,	 0.721841,	 0.299985,
12.236992,	 -14.226814,	 -6.404287,	 1.119612,	 0.752482,	 0.313767,
12.701711,	 -13.904483,	 -6.269672,	 1.093131,	 0.782355,	 0.327226,
13.155123,	 -13.569769,	 -6.129474,	 1.065759,	 0.811442,	 0.340353,
13.596851,	 -13.223007,	 -5.983833,	 1.037522,	 0.839723,	 0.353139,
14.026546,	 -12.864538,	 -5.832897,	 1.008449,	 0.867182,	 0.365577,
14.443858,	 -12.494714,	 -5.676810,	 0.978565,	 0.893802,	 0.377659,
14.848455,	 -12.113886,	 -5.515723,	 0.947899,	 0.919567,	 0.389377,
15.240010,	 -11.722420,	 -5.349793,	 0.916478,	 0.944461,	 0.400725,
15.618217,	 -11.320684,	 -5.179176,	 0.884330,	 0.968469,	 0.411695,
15.982775,	 -10.909054,	 -5.004032,	 0.851482,	 0.991577,	 0.422280,
16.333401,	 -10.487906,	 -4.824524,	 0.817962,	 1.013773,	 0.432475,
16.669806,	 -10.057631,	 -4.640816,	 0.783800,	 1.035042,	 0.442274,
16.991734,	 -9.618620,	 -4.453079,	 0.749021,	 1.055372,	 0.451670,
17.298929,	 -9.171267,	 -4.261480,	 0.713656,	 1.074752,	 0.460659,
17.591158,	 -8.715974,	 -4.066191,	 0.677732,	 1.093171,	 0.469234,
17.868181,	 -8.253150,	 -3.867389,	 0.641277,	 1.110618,	 0.477391,
18.129787,	 -7.783205,	 -3.665248,	 0.604320,	 1.127083,	 0.485124,
18.375776,	 -7.306551,	 -3.459950,	 0.566890,	 1.142556,	 0.492431,
18.605947,	 -6.823608,	 -3.251673,	 0.529015,	 1.157029,	 0.499305,
