2.273630,	 -9.040415,	 -3.831868,	 1.869568,	 0.445603,	 0.103597,
2.553040,	 -8.969673,	 -3.814672,	 1.855604,	 0.497714,	 0.125721,
2.830234,	 -8.891137,	 -3.794163,	 1.840015,	 0.549440,	 0.147757,
3.104968,	 -8.804873,	 -3.770356,	 1.822810,	 0.600742,	 0.169687,
3.377001,	 -8.710951,	 -3.743269,	 1.803997,	 0.651584,	 0.191496,
3.646093,	 -8.609440,	 -3.712920,	 1.783586,	 0.701925,	 0.213167,
3.912005,	 -8.500418,	 -3.679333,	 1.761588,	 0.751727,	 0.234684,
4.174498,	 -8.383964,	 -3.642530,	 1.738014,	 0.800952,	 0.256030,
4.433338,	 -8.260176,	 -3.602540,	 1.712877,	 0.849562,	 0.277190,
4.688292,	 -8.129146,	 -3.559390,	 1.686188,	 0.897517,	 0.298146,
4.939126,	 -7.990970,	 -3.513113,	 1.657963,	 0.944780,	 0.318882,
5.185613,	 -7.845760,	 -3.463744,	 1.628215,	 0.991313,	 0.339381,
5.427524,	 -7.693628,	 -3.411318,	 1.596962,	 1.037076,	 0.359628,
5.664636,	 -7.534691,	 -3.355874,	 1.564218,	 1.082031,	 0.379605,
5.896726,	 -7.369074,	 -3.297456,	 1.530003,	 1.126140,	 0.399296,
6.123573,	 -7.196907,	 -3.236106,	 1.494335,	 1.169364,	 0.418684,
6.344965,	 -7.018324,	 -3.171872,	 1.457232,	 1.211666,	 0.437753,
6.560686,	 -6.833467,	 -3.104803,	 1.418717,	 1.253007,	 0.456486,
6.770523,	 -6.642483,	 -3.034950,	 1.378811,	 1.293348,	 0.474866,
6.974273,	 -6.445525,	 -2.962367,	 1.337536,	 1.332652,	 0.492876,
7.171729,	 -6.242753,	 -2.887111,	 1.294917,	 1.370881,	 0.510500,
7.362694,	 -6.034327,	 -2.809242,	 1.250979,	 1.407997,	 0.527721,
7.546971,	 -5.820421,	 -2.728821,	 1.205748,	 1.443962,	 0.544522,
7.724367,	 -5.601207,	 -2.645912,	 1.159251,	 1.478739,	 0.560887,
7.894696,	 -5.376870,	 -2.560582,	 1.111519,	 1.512290,	 0.576799,
8.057775,	 -5.147593,	 -2.472901,	 1.062580,	 1.544578,	 0.592241,
8.213430,	 -4.913570,	 -2.382939,	 1.012467,	 1.575566,	 0.607197,
8.361479,	 -4.674998,	 -2.290771,	 0.961212,	 1.605218,	 0.621650,
8.501751,	 -4.432083,	 -2.196474,	 0.908850,	 1.633498,	 0.635584,
8.634090,	 -4.185029,	 -2.100127,	 0.855416,	 1.660370,	 0.648983,
8.758340,	 -3.934053,	 -2.001810,	 0.800947,	 1.685798,	 0.661830,
8.874346,	 -3.679372,	 -1.901609,	 0.745481,	 1.709748,	 0.674109,
8.981955,	 -3.421212,	 -1.799610,	 0.689060,	 1.732185,	 0.685804,
9.081034,	 -3.159801,	 -1.695901,	 0.631724,	 1.753076,	 0.696900,
9.171449,	 -2.895374,	 -1.590574,	 0.573517,	 1.772387,	 0.707381,
9.253062,	 -2.628171,	 -1.483721,	 0.514484,	 1.790086,	 0.717232,
9.325768,	 -2.358436,	 -1.375439,	 0.454670,	 1.806141,	 0.726437,
9.389446,	 -2.086417,	 -1.265826,	 0.394124,	 1.820522,	 0.734982,
9.443989,	 -1.812368,	 -1.154981,	 0.332896,	 1.833198,	 0.742853,
9.489301,	 -1.536547,	 -1.043007,	 0.271036,	 1.844141,	 0.750035,
9.525291,	 -1.259217,	 -0.930008,	 0.208598,	 1.853323,	 0.756514,
9.551874,	 -0.980643,	 -0.816090,	 0.145636,	 1.860716,	 0.762277,
9.568978,	 -0.701095,	 -0.701362,	 0.082207,	 1.866296,	 0.767312,
9.576534,	 -0.420847,	 -0.585935,	 0.018367,	 1.870038,	 0.771605,
9.574490,	 -0.140177,	 -0.469920,	 -0.045823,	 1.871920,	 0.775144,
9.562793,	 0.140634,	 -0.353431,	 -0.110302,	 1.871919,	 0.777918,
9.541405,	 0.421304,	 -0.236584,	 -0.175007,	 1.870017,	 0.779917,
9.510304,	 0.701544,	 -0.119496,	 -0.239875,	 1.866195,	 0.781130,
9.469459,	 0.981067,	 -0.002285,	 -0.304839,	 1.860437,	 0.781547,
9.418870,	 1.259580,	 0.114928,	 -0.369833,	 1.852728,	 0.781160,
9.358531,	 1.536789,	 0.232023,	 -0.434786,	 1.843056,	 0.779961,
9.288456,	 1.812401,	 0.348876,	 -0.499630,	 1.831410,	 0.777941,
9.208672,	 2.086117,	 0.465364,	 -0.564292,	 1.817783,	 0.775095,
9.119200,	 2.357641,	 0.581364,	 -0.628700,	 1.802168,	 0.771417,
9.020094,	 2.626673,	 0.696749,	 -0.692780,	 1.784561,	 0.766902,
8.911406,	 2.892914,	 0.811394,	 -0.756456,	 1.764962,	 0.761547,
8.793200,	 3.156067,	 0.925173,	 -0.819653,	 1.743372,	 0.755349,
8.665558,	 3.415833,	 1.037959,	 -0.882293,	 1.719794,	 0.748306,
8.528562,	 3.671914,	 1.149625,	 -0.944298,	 1.694235,	 0.740418,
