-49.060143,	 -13.412661,	 -4.267134,	 0.182078,	 -0.767759,	 -0.318767,
-48.210514,	 -16.551367,	 -5.572920,	 0.241441,	 -0.749891,	 -0.312933,
-47.119141,	 -19.610542,	 -6.852180,	 0.298873,	 -0.728527,	 -0.305620,
-45.794285,	 -22.576046,	 -8.098921,	 0.354195,	 -0.703836,	 -0.296893,
-44.244930,	 -25.434435,	 -9.307413,	 0.407241,	 -0.675988,	 -0.286817,
-42.480724,	 -28.172962,	 -10.472202,	 0.457855,	 -0.645150,	 -0.275457,
-40.511936,	 -30.779573,	 -11.588099,	 0.505894,	 -0.611491,	 -0.262878,
-38.349419,	 -33.242905,	 -12.650180,	 0.551221,	 -0.575178,	 -0.249145,
-36.004566,	 -35.552288,	 -13.653795,	 0.593709,	 -0.536378,	 -0.234324,
-33.489300,	 -37.697739,	 -14.594563,	 0.633237,	 -0.495258,	 -0.218479,
-30.816017,	 -39.669956,	 -15.468368,	 0.669691,	 -0.451985,	 -0.201676,
-27.997580,	 -41.460350,	 -16.271368,	 0.702962,	 -0.406727,	 -0.183982,
-25.047289,	 -43.061001,	 -16.999998,	 0.732946,	 -0.359656,	 -0.165464,
-21.978865,	 -44.464714,	 -17.650969,	 0.759547,	 -0.310942,	 -0.146189,
-18.806421,	 -45.665009,	 -18.221273,	 0.782669,	 -0.260762,	 -0.126227,
-15.544455,	 -46.656128,	 -18.708199,	 0.802225,	 -0.209294,	 -0.105649,
-12.207816,	 -47.433056,	 -19.109318,	 0.818130,	 -0.156720,	 -0.084528,
-8.811695,	 -47.991543,	 -19.422518,	 0.830307,	 -0.103230,	 -0.062939,
-5.371594,	 -48.328117,	 -19.645987,	 0.838682,	 -0.049015,	 -0.040959,
-1.903307,	 -48.440121,	 -19.778250,	 0.843189,	 0.005723,	 -0.018667,
1.577110,	 -48.325737,	 -19.818157,	 0.843769,	 0.060779,	 0.003852,
5.053370,	 -47.984005,	 -19.764912,	 0.840370,	 0.115939,	 0.026512,
8.508986,	 -47.414860,	 -19.618073,	 0.832951,	 0.170981,	 0.049225,
11.927320,	 -46.619167,	 -19.377581,	 0.821478,	 0.225676,	 0.071896,
15.291615,	 -45.598736,	 -19.043766,	 0.805934,	 0.279785,	 0.094430,
18.585062,	 -44.356400,	 -18.617365,	 0.786311,	 0.333063,	 0.116724,
21.790842,	 -42.896004,	 -18.099527,	 0.762619,	 0.385254,	 0.138675,
24.892210,	 -41.222450,	 -17.491850,	 0.734884,	 0.436098,	 0.160176,
27.872555,	 -39.341743,	 -16.796370,	 0.703151,	 0.485326,	 0.181115,
30.715490,	 -37.260998,	 -16.015594,	 0.667487,	 0.532663,	 0.201378,
33.404942,	 -34.988476,	 -15.152504,	 0.627982,	 0.577830,	 0.220848,
35.925240,	 -32.533588,	 -14.210561,	 0.584750,	 0.620546,	 0.239408,
38.261242,	 -29.906919,	 -13.193720,	 0.537935,	 0.660527,	 0.256938,
40.398449,	 -27.120211,	 -12.106422,	 0.487708,	 0.697493,	 0.273319,
42.323097,	 -24.186356,	 -10.953606,	 0.434271,	 0.731168,	 0.288433,
44.022316,	 -21.119379,	 -9.740686,	 0.377856,	 0.761284,	 0.302165,
45.484264,	 -17.934383,	 -8.473555,	 0.318730,	 0.787585,	 0.314403,
46.698231,	 -14.647515,	 -7.158547,	 0.257191,	 0.809830,	 0.325040,
47.654797,	 -11.275875,	 -5.802430,	 0.193570,	 0.827797,	 0.333979,
48.345966,	 -7.837441,	 -4.412362,	 0.128227,	 0.841291,	 0.341130,
48.765266,	 -4.350953,	 -2.995853,	 0.061553,	 0.850143,	 0.346415,
48.907879,	 -0.835794,	 -1.560715,	 -0.006037,	 0.854218,	 0.349766,
48.770744,	 2.688152,	 -0.115011,	 -0.074103,	 0.853416,	 0.351134,
48.352657,	 6.200662,	 1.333014,	 -0.142191,	 0.847680,	 0.350483,
47.654289,	 9.681345,	 2.774996,	 -0.209830,	 0.836996,	 0.347796,
46.678276,	 13.109821,	 4.202529,	 -0.276545,	 0.821394,	 0.343072,
45.429218,	 16.465919,	 5.607243,	 -0.341860,	 0.800952,	 0.336333,
43.913670,	 19.729870,	 6.980881,	 -0.405306,	 0.775797,	 0.327619,
42.140091,	 22.882500,	 8.315388,	 -0.466428,	 0.746102,	 0.316988,
40.118801,	 25.905424,	 9.602981,	 -0.524790,	 0.712084,	 0.304520,
37.861862,	 28.781237,	 10.836235,	 -0.579985,	 0.674007,	 0.290310,
35.382973,	 31.493671,	 12.008152,	 -0.631638,	 0.632169,	 0.274474,
32.697304,	 34.027752,	 13.112226,	 -0.679415,	 0.586905,	 0.257139,
29.821346,	 36.369946,	 14.142505,	 -0.723022,	 0.538578,	 0.238446,
26.772717,	 38.508240,	 15.093635,	 -0.762216,	 0.487575,	 0.218548,
23.569963,	 40.432259,	 15.960906,	 -0.796798,	 0.434298,	 0.197604,
20.232368,	 42.133301,	 16.740276,	 -0.826624,	 0.379160,	 0.175780,
16.779726,	 43.604382,	 17.428392,	 -0.851598,	 0.322578,	 0.153245,
13.232143,	 44.840229,	 18.022596,	 -0.871671,	 0.264966,	 0.130165,
