-0.677755,	 0.197351,	 0.131681,	 -2.453048,	 -6.460889,	 -2.751535,
-0.685234,	 0.176573,	 0.122806,	 -2.220568,	 -6.524676,	 -2.794945,
-0.691965,	 0.155602,	 0.113796,	 -1.985779,	 -6.581315,	 -2.835285,
-0.697942,	 0.134460,	 0.104663,	 -1.748945,	 -6.630748,	 -2.872513,
-0.703158,	 0.113173,	 0.095416,	 -1.510330,	 -6.672929,	 -2.906592,
-0.707608,	 0.091762,	 0.086065,	 -1.270201,	 -6.707819,	 -2.937485,
-0.711288,	 0.070251,	 0.076620,	 -1.028825,	 -6.735388,	 -2.965164,
-0.714193,	 0.048663,	 0.067091,	 -0.786472,	 -6.755613,	 -2.989600,
-0.716322,	 0.027023,	 0.057490,	 -0.543409,	 -6.768481,	 -3.010772,
-0.717672,	 0.005353,	 0.047826,	 -0.299906,	 -6.773986,	 -3.028659,
-0.718243,	 -0.016323,	 0.038110,	 -0.056232,	 -6.772132,	 -3.043245,
-0.718033,	 -0.037981,	 0.028353,	 0.187345,	 -6.762931,	 -3.054520,
-0.717045,	 -0.059598,	 0.018565,	 0.430557,	 -6.746401,	 -3.062475,
-0.715280,	 -0.081150,	 0.008757,	 0.673139,	 -6.722571,	 -3.067106,
-0.712740,	 -0.102615,	 -0.001061,	 0.914824,	 -6.691478,	 -3.068412,
-0.709428,	 -0.123968,	 -0.010878,	 1.155349,	 -6.653165,	 -3.066396,
-0.705349,	 -0.145188,	 -0.020683,	 1.394453,	 -6.607684,	 -3.061066,
-0.700507,	 -0.166250,	 -0.030465,	 1.631878,	 -6.555095,	 -3.052432,
-0.694908,	 -0.187133,	 -0.040215,	 1.867366,	 -6.495467,	 -3.040507,
-0.688560,	 -0.207814,	 -0.049921,	 2.100664,	 -6.428874,	 -3.025311,
-0.681468,	 -0.228271,	 -0.059573,	 2.331523,	 -6.355399,	 -3.006864,
-0.673642,	 -0.248482,	 -0.069162,	 2.559694,	 -6.275132,	 -2.985192,
-0.665091,	 -0.268425,	 -0.078675,	 2.784935,	 -6.188171,	 -2.960322,
-0.655823,	 -0.288080,	 -0.088104,	 3.007007,	 -6.094620,	 -2.932287,
-0.645851,	 -0.307425,	 -0.097439,	 3.225674,	 -5.994590,	 -2.901121,
-0.635184,	 -0.326439,	 -0.106668,	 3.440707,	 -5.888200,	 -2.866864,
-0.623835,	 -0.345103,	 -0.115784,	 3.651878,	 -5.775573,	 -2.829557,
-0.611818,	 -0.363397,	 -0.124775,	 3.858968,	 -5.656840,	 -2.789245,
-0.599144,	 -0.381301,	 -0.133632,	 4.061760,	 -5.532140,	 -2.745975,
-0.585828,	 -0.398797,	 -0.142346,	 4.260043,	 -5.401614,	 -2.699799,
-0.571886,	 -0.415866,	 -0.150908,	 4.453612,	 -5.265412,	 -2.650772,
-0.557332,	 -0.432491,	 -0.159308,	 4.642269,	 -5.123689,	 -2.598949,
-0.542182,	 -0.448653,	 -0.167539,	 4.825818,	 -4.976603,	 -2.544391,
-0.526453,	 -0.464337,	 -0.175590,	 5.004073,	 -4.824321,	 -2.487159,
-0.510163,	 -0.479525,	 -0.183454,	 5.176853,	 -4.667012,	 -2.427320,
-0.493329,	 -0.494201,	 -0.191122,	 5.343982,	 -4.504851,	 -2.364940,
-0.475969,	 -0.508351,	 -0.198587,	 5.505292,	 -4.338018,	 -2.300090,
-0.458102,	 -0.521961,	 -0.205841,	 5.660621,	 -4.166697,	 -2.232842,
-0.439748,	 -0.535015,	 -0.212875,	 5.809814,	 -3.991075,	 -2.163270,
