1.377250,	 -0.190324,	 -0.124512,	 1.049242,	 4.984027,	 2.257687,
1.382538,	 -0.164129,	 -0.112640,	 0.944211,	 4.997721,	 2.266807,
1.387275,	 -0.137865,	 -0.100721,	 0.839000,	 5.009396,	 2.275005,
1.391458,	 -0.111545,	 -0.088762,	 0.733665,	 5.019054,	 2.282281,
1.395089,	 -0.085178,	 -0.076766,	 0.628261,	 5.026697,	 2.288635,
1.398166,	 -0.058775,	 -0.064739,	 0.522842,	 5.032330,	 2.294067,
1.400689,	 -0.032347,	 -0.052686,	 0.417461,	 5.035961,	 2.298580,
1.402660,	 -0.005904,	 -0.040610,	 0.312172,	 5.037597,	 2.302176,
1.404078,	 0.020544,	 -0.028518,	 0.207028,	 5.037247,	 2.304856,
1.404944,	 0.046985,	 -0.016413,	 0.102081,	 5.034922,	 2.306626,
1.405260,	 0.073410,	 -0.004301,	 -0.002618,	 5.030634,	 2.307488,
1.405027,	 0.099809,	 0.007814,	 -0.107016,	 5.024396,	 2.307448,
1.404247,	 0.126171,	 0.019926,	 -0.211064,	 5.016222,	 2.306510,
1.402921,	 0.152485,	 0.032032,	 -0.314713,	 5.006129,	 2.304682,
1.401052,	 0.178743,	 0.044126,	 -0.417914,	 4.994134,	 2.301968,
1.398642,	 0.204934,	 0.056204,	 -0.520618,	 4.980254,	 2.298377,
1.395694,	 0.231048,	 0.068262,	 -0.622780,	 4.964509,	 2.293916,
1.392210,	 0.257075,	 0.080294,	 -0.724352,	 4.946920,	 2.288593,
1.388196,	 0.283007,	 0.092296,	 -0.825291,	 4.927508,	 2.282416,
1.383652,	 0.308832,	 0.104265,	 -0.925551,	 4.906295,	 2.275396,
1.378584,	 0.334543,	 0.116194,	 -1.025091,	 4.883304,	 2.267541,
1.372994,	 0.360129,	 0.128081,	 -1.123868,	 4.858561,	 2.258861,
1.366888,	 0.385582,	 0.139920,	 -1.221841,	 4.832090,	 2.249367,
1.360269,	 0.410892,	 0.151708,	 -1.318970,	 4.803918,	 2.239069,
1.353141,	 0.436050,	 0.163441,	 -1.415217,	 4.774071,	 2.227980,
1.345511,	 0.461049,	 0.175113,	 -1.510545,	 4.742577,	 2.216110,
1.337382,	 0.485878,	 0.186721,	 -1.604917,	 4.709464,	 2.203472,
