0.620710,	 -0.778438,	 -0.337484,	 4.954160,	 3.242921,	 1.405933,
0.645269,	 -0.761960,	 -0.330340,	 4.847078,	 3.374004,	 1.462763,
0.669283,	 -0.744833,	 -0.322915,	 4.736001,	 3.502082,	 1.518290,
0.692735,	 -0.727071,	 -0.315214,	 4.621030,	 3.627060,	 1.572473,
0.715604,	 -0.708691,	 -0.307246,	 4.502266,	 3.748844,	 1.625271,
0.737872,	 -0.689708,	 -0.299016,	 4.379813,	 3.867340,	 1.676644,
0.759520,	 -0.670140,	 -0.290532,	 4.253778,	 3.982460,	 1.726553,
0.780532,	 -0.650003,	 -0.281802,	 4.124271,	 4.094119,	 1.774962,
0.800888,	 -0.629315,	 -0.272833,	 3.991402,	 4.202232,	 1.821833,
0.820575,	 -0.608093,	 -0.263633,	 3.855284,	 4.306720,	 1.867132,
0.839574,	 -0.586356,	 -0.254209,	 3.716034,	 4.407504,	 1.910826,
0.857871,	 -0.564123,	 -0.244570,	 3.573768,	 4.504510,	 1.952882,
0.875450,	 -0.541413,	 -0.234724,	 3.428607,	 4.597666,	 1.993269,
0.892298,	 -0.518244,	 -0.224680,	 3.280670,	 4.686903,	 2.031957,
0.908402,	 -0.494638,	 -0.214445,	 3.130081,	 4.772156,	 2.068918,
0.923747,	 -0.470613,	 -0.204030,	 2.976964,	 4.853362,	 2.104124,
0.938322,	 -0.446190,	 -0.193441,	 2.821446,	 4.930462,	 2.137550,
0.952114,	 -0.421390,	 -0.182690,	 2.663654,	 5.003398,	 2.169171,
0.965113,	 -0.396234,	 -0.171783,	 2.503717,	 5.072118,	 2.198963,
0.977309,	 -0.370743,	 -0.160732,	 2.341766,	 5.136572,	 2.226907,
0.988691,	 -0.344938,	 -0.149545,	 2.177933,	 5.196712,	 2.252980,
0.999250,	 -0.318841,	 -0.138231,	 2.012351,	 5.252495,	 2.277164,
1.008978,	 -0.292474,	 -0.126799,	 1.845153,	 5.303880,	 2.299441,
1.017867,	 -0.265859,	 -0.115261,	 1.676476,	 5.350829,	 2.319796,
1.025910,	 -0.239018,	 -0.103624,	 1.506454,	 5.393310,	 2.338213,
1.033100,	 -0.211974,	 -0.091899,	 1.335226,	 5.431292,	 2.354680,
1.039432,	 -0.184749,	 -0.080096,	 1.162928,	 5.464746,	 2.369183,
1.044900,	 -0.157365,	 -0.068224,	 0.989701,	 5.493649,	 2.381714,
1.049501,	 -0.129847,	 -0.056294,	 0.815682,	 5.517981,	 2.392263,
1.053230,	 -0.102215,	 -0.044315,	 0.641012,	 5.537724,	 2.400823,
1.056085,	 -0.074495,	 -0.032297,	 0.465830,	 5.552865,	 2.407387,
1.058064,	 -0.046707,	 -0.020250,	 0.290278,	 5.563393,	 2.411951,
1.059163,	 -0.018877,	 -0.008184,	 0.114497,	 5.569301,	 2.414512,
1.059384,	 0.008974,	 0.003890,	 -0.061373,	 5.570585,	 2.415069,
1.058725,	 0.036822,	 0.015964,	 -0.237191,	 5.567247,	 2.413622,
1.057188,	 0.064644,	 0.028026,	 -0.412814,	 5.559288,	 2.410172,
1.054773,	 0.092418,	 0.040066,	 -0.588102,	 5.546716,	 2.404721,
1.051483,	 0.120119,	 0.052076,	 -0.762914,	 5.529542,	 2.397275,
1.047319,	 0.147725,	 0.064044,	 -0.937108,	 5.507778,	 2.387840,
1.042287,	 0.175213,	 0.075961,	 -1.110545,	 5.481444,	 2.376423,
1.036388,	 0.202560,	 0.087817,	 -1.283085,	 5.450558,	 2.363033,
1.029629,	 0.229744,	 0.099603,	 -1.454587,	 5.415147,	 2.347681,
1.022015,	 0.256741,	 0.111307,	 -1.624914,	 5.375237,	 2.330379,
1.013552,	 0.283531,	 0.122921,	 -1.793926,	 5.330860,	 2.311139,
1.004247,	 0.310089,	 0.134436,	 -1.961487,	 5.282051,	 2.289979,
0.994107,	 0.336395,	 0.145840,	 -2.127461,	 5.228848,	 2.266913,
0.983140,	 0.362426,	 0.157125,	 -2.291711,	 5.171294,	 2.241961,
0.971356,	 0.388160,	 0.168282,	 -2.454104,	 5.109432,	 2.215142,
0.958764,	 0.413577,	 0.179302,	 -2.614507,	 5.043312,	 2.186476,
0.945374,	 0.438654,	 0.190174,	 -2.772788,	 4.972986,	 2.155987,
0.931197,	 0.463372,	 0.200890,	 -2.928817,	 4.898510,	 2.123699,
0.916245,	 0.487709,	 0.211441,	 -3.082466,	 4.819942,	 2.089637,
0.900529,	 0.511645,	 0.221818,	 -3.233607,	 4.737345,	 2.053828,
0.884063,	 0.535160,	 0.232013,	 -3.382115,	 4.650784,	 2.016300,
0.866860,	 0.558235,	 0.242017,	 -3.527867,	 4.560329,	 1.977084,
