1.670942,	 -4.504421,	 -1.971415,	 2.578686,	 0.949696,	 0.344288,
1.728866,	 -4.482796,	 -1.963556,	 2.567934,	 0.978229,	 0.356780,
1.786545,	 -4.460530,	 -1.955416,	 2.556798,	 1.006668,	 0.369241,
1.843970,	 -4.437624,	 -1.946996,	 2.545277,	 1.035008,	 0.381669,
1.901132,	 -4.414082,	 -1.938297,	 2.533373,	 1.063245,	 0.394062,
1.958024,	 -4.389906,	 -1.929320,	 2.521086,	 1.091374,	 0.406418,
2.014635,	 -4.365098,	 -1.920064,	 2.508416,	 1.119392,	 0.418736,
2.070957,	 -4.339661,	 -1.910532,	 2.495365,	 1.147292,	 0.431013,
2.126982,	 -4.313596,	 -1.900724,	 2.481932,	 1.175071,	 0.443247,
2.182702,	 -4.286908,	 -1.890641,	 2.468120,	 1.202724,	 0.455436,
2.238107,	 -4.259600,	 -1.880285,	 2.453928,	 1.230247,	 0.467579,
2.293190,	 -4.231672,	 -1.869655,	 2.439358,	 1.257634,	 0.479672,
2.347942,	 -4.203130,	 -1.858754,	 2.424411,	 1.284882,	 0.491715,
2.402354,	 -4.173976,	 -1.847583,	 2.409087,	 1.311986,	 0.503706,
2.456417,	 -4.144214,	 -1.836142,	 2.393389,	 1.338940,	 0.515642,
2.510125,	 -4.113846,	 -1.824433,	 2.377317,	 1.365741,	 0.527521,
2.563467,	 -4.082877,	 -1.812457,	 2.360873,	 1.392384,	 0.539341,
2.616436,	 -4.051310,	 -1.800216,	 2.344058,	 1.418864,	 0.551100,
2.669024,	 -4.019148,	 -1.787711,	 2.326873,	 1.445176,	 0.562797,
2.721221,	 -3.986396,	 -1.774943,	 2.309321,	 1.471317,	 0.574429,
2.773021,	 -3.953058,	 -1.761914,	 2.291402,	 1.497281,	 0.585994,
2.824413,	 -3.919137,	 -1.748626,	 2.273119,	 1.523064,	 0.597491,
2.875391,	 -3.884637,	 -1.735079,	 2.254473,	 1.548661,	 0.608917,
2.925947,	 -3.849563,	 -1.721276,	 2.235466,	 1.574068,	 0.620269,
2.976071,	 -3.813919,	 -1.707219,	 2.216100,	 1.599279,	 0.631547,
3.025756,	 -3.777710,	 -1.692908,	 2.196377,	 1.624291,	 0.642748,
3.074995,	 -3.740940,	 -1.678346,	 2.176300,	 1.649099,	 0.653871,
3.123778,	 -3.703614,	 -1.663534,	 2.155870,	 1.673699,	 0.664912,
3.172099,	 -3.665735,	 -1.648475,	 2.135089,	 1.698085,	 0.675871,
3.219949,	 -3.627311,	 -1.633170,	 2.113960,	 1.722253,	 0.686744,
3.267320,	 -3.588344,	 -1.617621,	 2.092486,	 1.746200,	 0.697531,
3.314205,	 -3.548841,	 -1.601830,	 2.070668,	 1.769919,	 0.708229,
3.360596,	 -3.508806,	 -1.585799,	 2.048510,	 1.793407,	 0.718837,
3.406486,	 -3.468244,	 -1.569530,	 2.026014,	 1.816660,	 0.729351,
3.451866,	 -3.427162,	 -1.553026,	 2.003183,	 1.839672,	 0.739771,
3.496730,	 -3.385564,	 -1.536288,	 1.980019,	 1.862440,	 0.750094,
3.541070,	 -3.343456,	 -1.519319,	 1.956525,	 1.884959,	 0.760318,
3.584877,	 -3.300843,	 -1.502120,	 1.932705,	 1.907225,	 0.770442,
3.628147,	 -3.257733,	 -1.484695,	 1.908562,	 1.929233,	 0.780463,
3.670870,	 -3.214128,	 -1.467045,	 1.884098,	 1.950980,	 0.790380,
3.713040,	 -3.170038,	 -1.449173,	 1.859316,	 1.972460,	 0.800190,
3.754649,	 -3.125466,	 -1.431082,	 1.834221,	 1.993669,	 0.809892,
3.795691,	 -3.080419,	 -1.412773,	 1.808815,	 2.014604,	 0.819484,
3.836159,	 -3.034904,	 -1.394249,	 1.783102,	 2.035261,	 0.828964,
3.876045,	 -2.988927,	 -1.375513,	 1.757086,	 2.055634,	 0.838330,
3.915343,	 -2.942494,	 -1.356567,	 1.730769,	 2.075720,	 0.847580,
